[15:22:21] config.py (line 370):     INFO: Seed number: 297834
[15:26:01] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_11/A_11_0/hmmbuild.input._a2hiea6.fasta
[15:26:20] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_12/A_12_0/hmmbuild.input.39brv2z9.fasta
[15:26:38] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_13/A_13_0/hmmbuild.input.20vh2g7d.fasta
[15:26:57] jobs.py (line 131):     INFO: Finished hmmbuild Job with input: /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_14/A_14_0/hmmbuild.input.xkbo6kud.fasta
[15:26:59] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_0/A_0_0/hmmbuild.model.53gocmno, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_0/A_0_0/FC_0_0_0/hmmsearch.results.s_a38s_n
[15:27:02] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_1/A_1_0/hmmbuild.model.8ksw5k31, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_1/A_1_0/FC_1_0_0/hmmsearch.results.ip6wb6yb
[15:27:05] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_2/A_2_0/hmmbuild.model.s8dd55ek, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_2/A_2_0/FC_2_0_0/hmmsearch.results.vmsr01dp
[15:27:07] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_3/A_3_0/hmmbuild.model.92485j5n, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_3/A_3_0/FC_3_0_0/hmmsearch.results.ubx8j5hb
[15:27:10] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_4/A_4_0/hmmbuild.model.unfx9de8, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_4/A_4_0/FC_4_0_0/hmmsearch.results.4u488vld
[15:27:13] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_5/A_5_0/hmmbuild.model.whwea57t, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_5/A_5_0/FC_5_0_0/hmmsearch.results.nez2bjyx
[15:27:16] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_6/A_6_0/hmmbuild.model.mlrwclxh, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_6/A_6_0/FC_6_0_0/hmmsearch.results.tyep0onr
[15:27:18] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_7/A_7_0/hmmbuild.model.svidxb_e, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_7/A_7_0/FC_7_0_0/hmmsearch.results.zh4rph_x
[15:27:21] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_8/A_8_0/hmmbuild.model.b0guxqf3, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_8/A_8_0/FC_8_0_0/hmmsearch.results.xn_2cbv7
[15:27:24] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_9/A_9_0/hmmbuild.model.13xydoms, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_9/A_9_0/FC_9_0_0/hmmsearch.results.sdtrj1n1
[15:27:27] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_10/A_10_0/hmmbuild.model.nhfbq_dm, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_10/A_10_0/FC_10_0_0/hmmsearch.results.lcvi1ie_
[15:27:30] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_11/A_11_0/hmmbuild.model.jo_9rtrj, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_11/A_11_0/FC_11_0_0/hmmsearch.results.ylov4lje
[15:27:32] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_12/A_12_0/hmmbuild.model.iw60ey01, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_12/A_12_0/FC_12_0_0/hmmsearch.results.gclbzu14
[15:27:35] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_13/A_13_0/hmmbuild.model.q8phjdh5, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_13/A_13_0/FC_13_0_0/hmmsearch.results.0mu95_ze
[15:27:37] jobs.py (line 131):     INFO: Finished hmmsearch Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_14/A_14_0/hmmbuild.model.eu72lkjt, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/fragment_chunks/fragment_chunk_09_3k_4s7.fasta, elim:99999999, filter:False, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_14/A_14_0/FC_14_0_0/hmmsearch.results.9lzdnfl3
[15:27:37] exhaustive.py (line 81):  WARNING: Fragments [] are not scored against any subset
[15:27:37] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_0.
[15:27:37] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_1.
[15:27:38] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_2.
[15:27:38] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_3.
[15:27:38] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_4.
[15:27:38] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_5.
[15:27:38] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_6.
[15:27:41] jobs.py (line 131):     INFO: Finished hmmalign Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_7/A_7_0/hmmbuild.model.svidxb_e, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_7/A_7_0/FC_7_0_0/hmmalign.frag.bpgo__e8.fasta, trim:False, base_alignment:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_7/A_7_0/hmmbuild.input.4tvf1w20.fasta
[15:27:41] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_7.
[15:27:41] alignment.py (line 566):     INFO: Merging extension sto file (/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_7/A_7_0/FC_7_0_0/hmmalign.results.kvg2vhi7) into base alignment (/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_7/A_7_0/hmmbuild.input.4tvf1w20.fasta).
[15:27:42] jobs.py (line 131):     INFO: Finished hmmalign Job with input: model:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_8/A_8_0/hmmbuild.model.b0guxqf3, fragments:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_8/A_8_0/FC_8_0_0/hmmalign.frag.gmt_kbb1.fasta, trim:False, base_alignment:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_8/A_8_0/hmmbuild.input.e50h_3u4.fasta
[15:27:42] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_8.
[15:27:42] alignment.py (line 566):     INFO: Merging extension sto file (/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_8/A_8_0/FC_8_0_0/hmmalign.results.mtsz1z93) into base alignment (/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_8/A_8_0/hmmbuild.input.e50h_3u4.fasta).
[15:27:42] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_9.
[15:27:42] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_10.
[15:27:42] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_11.
[15:27:42] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_12.
[15:27:42] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_13.
[15:27:42] exhaustive.py (line 152):     INFO: Merging sub-alignments for placement problem : P_14.
[15:27:45] jobs.py (line 131):     INFO: Finished pplacer Job with input: backbone_alignment_file:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_7/pplacer.backbone.5wk7zg9w.fasta, tree_file:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_7/pplacer.tree.tbgt8k56.tre, info_file:/labs/Wegrzyn/bikash/botany2021/braker/busco_downloads/placement_files/tree_metadata.eukaryota_odb10.2019-12-16.txt, extended alignment:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_7/pplacer.extended.0.ri7g82v3.fasta, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_7/pplacer.extended.0.ri7g82v3.jplace
[15:27:46] jobs.py (line 131):     INFO: Finished pplacer Job with input: backbone_alignment_file:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_8/pplacer.backbone.13vf_p2c.fasta, tree_file:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_8/pplacer.tree.mbh4klok.tre, info_file:/labs/Wegrzyn/bikash/botany2021/braker/busco_downloads/placement_files/tree_metadata.eukaryota_odb10.2019-12-16.txt, extended alignment:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_8/pplacer.extended.0.isjx2f_b.fasta, output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0/root/P_8/pplacer.extended.0.isjx2f_b.jplace
[15:27:49] jobs.py (line 131):     INFO: Finished jsonmerger Job with input: input:pipe output:/labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/placement_files/output_placement.json
[15:27:49] algorithm.py (line 196):     INFO: Current execution Finished in 327 seconds
[15:27:49] algorithm.py (line 198):     INFO: All checkpointed executions Finished in 328 cumulative time
[15:27:49] algorithm.py (line 207):     INFO: Temp files are left behind at /labs/Wegrzyn/bikash/botany2021/braker/busco_output/auto_lineage/run_eukaryota_odb10/sepp_tmp_files/output.u9kv_pq0
